task,algorithm,seed,num_samples,cost,wall_time_s,status,error
particle,cmaes,1,64,0.027080833911895752,2.5936532020568848,ok,
particle,cmaes,2,64,0.17595243453979492,2.581784725189209,ok,
particle,cmaes,3,64,0.08626671880483627,2.575216770172119,ok,
particle,cmaes,4,64,0.11920936405658722,2.4453318119049072,ok,
particle,cmaes,5,64,0.1296258419752121,2.5591719150543213,ok,
particle,cmaes,6,64,0.03446654602885246,2.458051919937134,ok,
particle,cmaes,7,64,0.17253577709197998,2.606293201446533,ok,
particle,cmaes,8,64,0.39723077416419983,2.44034743309021,ok,
particle,cmaes,9,64,0.026473641395568848,2.5921449661254883,ok,
particle,mppi_cma,0,64,0.41317012906074524,4.291702508926392,ok,
particle,mppi_cma,1,64,0.18005433678627014,0.9729604721069336,ok,
particle,mppi_cma,2,64,0.26441118121147156,0.9792046546936035,ok,
particle,mppi_cma,3,64,0.12882260978221893,1.0030879974365234,ok,
particle,mppi_cma,4,64,0.30546310544013977,0.9946632385253906,ok,
particle,mppi_cma,5,64,0.25893494486808777,1.0141139030456543,ok,
particle,mppi_cma,6,64,0.2039007544517517,0.974175214767456,ok,
particle,mppi_cma,7,64,0.3268468677997589,0.9762537479400635,ok,
particle,mppi_cma,8,64,0.6202986240386963,0.9782953262329102,ok,
particle,mppi_cma,9,64,0.1365184634923935,0.9657447338104248,ok,
particle,er_cma,0,64,0.357601523399353,4.290899038314819,ok,
particle,er_cma,1,64,0.05945997312664986,0.9819068908691406,ok,
particle,er_cma,2,64,0.23697474598884583,0.9752655029296875,ok,
particle,er_cma,3,64,0.12238164991140366,0.9829866886138916,ok,
particle,er_cma,4,64,0.17892086505889893,0.9790048599243164,ok,
particle,er_cma,5,64,0.1854485422372818,0.976809024810791,ok,
particle,er_cma,6,64,0.07361515611410141,0.9729063510894775,ok,
particle,er_cma,7,64,0.23940861225128174,0.99505615234375,ok,
particle,er_cma,8,64,0.568034827709198,0.9866533279418945,ok,
particle,er_cma,9,64,0.058679550886154175,0.9784815311431885,ok,
cart_pole,ps,0,64,2.5708673000335693,6.652399301528931,ok,
cart_pole,ps,1,64,5.304702281951904,6.843767881393433,ok,
cart_pole,ps,2,64,3.400642156600952,6.72080397605896,ok,
cart_pole,ps,3,64,0.45241567492485046,6.716293811798096,ok,
cart_pole,ps,4,64,3.06826114654541,6.750364542007446,ok,
cart_pole,ps,5,64,2.57234787940979,6.709914684295654,ok,
cart_pole,ps,6,64,1.446502923965454,6.703929901123047,ok,
cart_pole,ps,7,64,5.142615795135498,6.6818132400512695,ok,
cart_pole,ps,8,64,6.891658782958984,6.676337480545044,ok,
cart_pole,ps,9,64,2.6523277759552,6.701581716537476,ok,
cart_pole,mppi,0,64,3.362574338912964,6.952158451080322,ok,
cart_pole,mppi,1,64,5.185765266418457,6.909926891326904,ok,
cart_pole,mppi,2,64,3.787674903869629,6.9016432762146,ok,
cart_pole,mppi,3,64,0.18060486018657684,7.154680490493774,ok,
cart_pole,mppi,4,64,2.8064396381378174,6.964365482330322,ok,
cart_pole,mppi,5,64,2.7653799057006836,6.902386665344238,ok,
cart_pole,mppi,6,64,1.7041478157043457,6.923133373260498,ok,
cart_pole,mppi,7,64,5.66631555557251,6.970447301864624,ok,
